Distance,Hop,RTT,PLR
400m,1,4089.6824120603014,0.4
400m,1,4755.523618090452,0.5
400m,1,3036,0.0
400m,1,2825,0.0
400m,1,2883,0.0
400m,1,3535.8412060301507,0.25
400m,1,2695,0.0
400m,1,2937,0.0
400m,1,4371.682412060301,0.4
400m,1,3470.8412060301507,0.25
400m,1,2887,0.0
400m,1,2942,0.0
400m,1,2809,0.0
400m,1,4575.523618090452,0.5
400m,1,3436.8412060301507,0.25
400m,1,3556.8412060301507,0.25
400m,1,2921,0.0
400m,1,3476.8412060301507,0.25
400m,1,3470.8412060301507,0.25
400m,1,3469.8412060301507,0.25
400m,1,2738,0.0
400m,1,3454.8412060301507,0.25
400m,1,3397.8412060301507,0.25
400m,1,3991.6824120603014,0.4
400m,1,2863,0.0
400m,1,4188.682412060301,0.4
400m,1,2832,0.0
400m,1,2863,0.0
400m,1,2842,0.0
400m,1,2840,0.0
400m,1,3519.8412060301507,0.25
400m,1,2816,0.0
400m,1,4125.682412060301,0.4
400m,1,3453.8412060301507,0.25
400m,1,2837,0.0
400m,1,2873,0.0
400m,1,2900,0.0
400m,1,2855,0.0
400m,1,3251.8412060301507,0.25
400m,1,3555.8412060301507,0.25
400m,1,3440.8412060301507,0.25
400m,1,3013,0.0
400m,1,3507.8412060301507,0.25
400m,1,3394.8412060301507,0.25
400m,1,2907,0.0
400m,1,2869,0.0
400m,1,3196,0.0
400m,1,3433.8412060301507,0.25
400m,1,3529.8412060301507,0.25
400m,1,3860.6824120603014,0.4
400m,1,4022.6824120603014,0.4
400m,1,2936,0.0
400m,1,2839,0.0
400m,1,2988,0.0
400m,1,4670.523618090452,0.5
400m,1,2796,0.0
400m,1,3556.8412060301507,0.25
400m,1,3404.8412060301507,0.25
400m,1,3333.8412060301507,0.25
400m,1,2927,0.0
400m,1,3429.8412060301507,0.25
400m,1,2868,0.0
400m,1,3374.8412060301507,0.25
400m,1,3692.8412060301507,0.25
400m,1,2842,0.0
400m,1,4082.6824120603014,0.4
400m,1,3548.8412060301507,0.25
400m,1,3517.8412060301507,0.25
400m,1,3457.8412060301507,0.25
400m,1,5242.364824120603,0.5714285714285714
400m,1,2988,0.0
400m,1,2872,0.0
400m,1,3336.8412060301507,0.25
400m,1,2972,0.0
400m,1,2917,0.0
400m,1,3473.8412060301507,0.25
400m,1,3033,0.0
400m,1,4065.6824120603014,0.4
400m,1,3524.8412060301507,0.25
400m,1,2923,0.0
400m,1,2859,0.0
400m,1,3046,0.0
400m,1,2898,0.0
400m,1,4609.523618090452,0.5
400m,1,3531.8412060301507,0.25
400m,1,4766.523618090452,0.5
400m,1,4740.523618090452,0.5
400m,1,2994,0.0
400m,1,3902.6824120603014,0.4
400m,1,2859,0.0
400m,1,2886,0.0
400m,1,4005.8412060301507,0.25
400m,1,4113.682412060301,0.4
400m,1,3593.8412060301507,0.25
400m,1,4681.523618090452,0.5
400m,1,2920,0.0
400m,1,2815,0.0
400m,1,2984,0.0
400m,1,3582.8412060301507,0.25
400m,1,2939,0.0
400m,1,2967,0.0
400m,1,4724.523618090452,0.5
400m,1,2878,0.0
400m,1,2923,0.0
400m,1,2914,0.0
400m,1,2454,0.0
400m,1,2960,0.0
400m,1,2973,0.0
400m,1,2769,0.0
400m,1,3533.8412060301507,0.25
400m,1,3477.8412060301507,0.25
400m,1,2846,0.0
400m,1,3579.8412060301507,0.25
400m,1,3000.8412060301507,0.25
400m,1,3578.8412060301507,0.25
400m,1,2792,0.0
400m,1,2904,0.0
400m,1,2874,0.0
400m,1,2780,0.0
400m,1,3502.8412060301507,0.25
400m,1,3060,0.0
400m,1,3563.8412060301507,0.25
400m,1,3417.8412060301507,0.25
400m,1,2862,0.0
400m,1,2804,0.0
400m,1,2917,0.0
400m,1,3534.8412060301507,0.25
400m,1,6528.047236180904,0.6666666666666666
400m,1,2950,0.0
400m,1,5317.364824120603,0.5714285714285714
400m,1,4581.523618090452,0.5
400m,1,3455.8412060301507,0.25
400m,1,3840.6824120603014,0.4
400m,1,3529.8412060301507,0.25
